dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.691687,2.260430,5.011890,1.535806,-2.064899,1.929525,0.421895
0.020000,5.718781,2.273100,5.041800,1.495518,-2.014405,2.524691,0.453182
0.020000,5.744765,2.286268,5.070930,1.456485,-1.951650,3.137752,0.485203
0.020000,5.769650,2.299909,5.099309,1.418951,-1.876682,3.748408,0.517874
0.020000,5.793457,2.313998,5.126972,1.383155,-1.789828,4.342710,0.551097
0.020000,5.816208,2.328511,5.153958,1.349306,-1.692453,4.868729,0.584763
0.020000,5.837932,2.343426,5.180310,1.317583,-1.586147,5.315312,0.618752
0.020000,5.858661,2.358724,5.206073,1.288133,-1.472506,5.682055,0.652936
0.020000,5.878430,2.374386,5.231293,1.261045,-1.354401,5.905222,0.687183
0.020000,5.897274,2.390395,5.256021,1.236354,-1.234520,5.994045,0.721357
0.020000,5.915233,2.406737,5.280301,1.214042,-1.115620,5.944999,0.755325
0.020000,5.932341,2.423398,5.304182,1.194034,-1.000390,5.761507,0.788958
0.020000,5.948637,2.440364,5.327706,1.176201,-0.891659,5.436557,0.822133
0.020000,5.964154,2.457621,5.350913,1.160370,-0.791562,5.004836,0.854737
0.020000,5.978925,2.475156,5.373840,1.146340,-0.701490,4.503613,0.886670
0.020000,5.992980,2.492952,5.396518,1.133873,-0.623340,3.907484,0.917842
0.020000,6.006349,2.510993,5.418972,1.122731,-0.557105,3.311771,0.948181
0.020000,6.019058,2.529260,5.441226,1.112662,-0.503446,2.682935,0.977625
0.020000,6.031131,2.547733,5.463294,1.103414,-0.462371,2.053768,1.006128
0.020000,6.042591,2.566390,5.485189,1.094770,-0.432235,1.506781,1.033657
0.020000,6.053460,2.585206,5.506919,1.086498,-0.413604,0.931564,1.060189
0.020000,6.063758,2.604158,5.528488,1.078432,-0.403281,0.516142,1.085715
0.020000,6.073506,2.623217,5.549895,1.070368,-0.403199,0.004124,1.110233
0.020000,6.082722,2.642357,5.571139,1.062182,-0.409309,-0.305518,1.133750
0.020000,6.091426,2.661552,5.592214,1.053763,-0.420954,-0.582231,1.156280
0.020000,6.099635,2.680771,5.613114,1.044984,-0.438941,-0.899362,1.177843
0.020000,6.107368,2.699989,5.633829,1.035783,-0.460065,-1.056181,1.198463
0.020000,6.114644,2.719178,5.654352,1.026106,-0.483858,-1.189687,1.218166
0.020000,6.121481,2.738312,5.674669,1.015892,-0.510663,-1.340254,1.236982
0.020000,6.127895,2.757363,5.694772,1.005116,-0.538795,-1.406575,1.254943
0.020000,6.133906,2.776308,5.714648,0.993791,-0.566278,-1.374137,1.272081
0.020000,6.139531,2.795122,5.734284,0.981839,-0.597586,-1.565395,1.288429
0.020000,6.144786,2.813783,5.753671,0.969339,-0.624996,-1.370506,1.304020
0.020000,6.149690,2.832268,5.772796,0.956228,-0.655567,-1.528571,1.318887
0.020000,6.154259,2.850558,5.791648,0.942596,-0.681598,-1.301552,1.333060
0.020000,6.158509,2.868633,5.810215,0.928368,-0.711401,-1.490118,1.346572
0.020000,6.162456,2.886474,5.828487,0.913620,-0.737396,-1.299795,1.359452
